;Unidade Acadêmica;Departamento;NomedoLaboratorio;Responsável(is);Site;Observações;Campus da UFC;Localização;Empresa Privada Parceira
1;Centro de Tecnologia (CT);Engenharia de Produção;Observatório Tecnológico (OT);Heráclito Lopes Jaguaribe Pontes (Coord.);http://www.ot.ufc.br/;Linha de pesquisa: Mapeamento e Melhoria de Processos, Simulação Computacional, Indústria 4.0 (Machine Learning) e Monitoramento de Cadeias Produtivas;Pici;715, 1º andar;"Qualitá - Empresa de Consultoria em Recursos Humanos
Banco do Nordeste - BNB"
2;Centro de Tecnologia (CT);Engenharia de Produção;Laboratório de Pesquisa Operacional em Produção e Logística (OPL);"Prof. Anselmo R. Pitombeira Neto (Coord.)
Bruno de Athayde Prata";http://www.opl.ufc.br/pt/;Estuda a aplicação de métodos computacionais avançados para a solução de problemas industriais e logísticos com ênfase na modelagem matemática e computacional de problemas de produção, logística e transportes, com uso de técnicas de otimização matemática, simulação estocástica, aprendizado de máquina e ciência de dados.;Pici;724;-
3;Centro de Tecnologia (CT);Engenharia de Teleinformática;Centro de Referência em Automação e Robótica – CENTAURO;José Tarcísio Costa Filho ;http://www.centauro.ufc.br/;Automação, Robótica e Compatibilidade Eletromagnética com a perspectiva de incorporação de máquinas, componentes e sistemas inteligentes aos processos industriais e de serviços.;Pici;"Núcleo de Tecnologia Industrial do Ceará (NUTEC)
Laboratório de Robótica - LABOR
Lab. de Automação e Controle - LACONTROL";Rockwellautomation - Automação e produtos industriais
4;Centro de Tecnologia (CT);Engenharia de Teleinformática;Laboratório de Engenharia de Sistemas de Computação – LESC;"Paulo César Cortez
Jarbas Aryel Nunes da Silveira";http://site.lesc.freeddns.org/;"(i) Sistemas Embarcados (hardware/software); (ii) Microeletrônica; (iii) Sistemas Tolerantes a Falhas; (iv) Sistemas Distribuídos Aplicados à Tecnologia Educacional; (v) Processamento de Sinais, Imagens e Vídeo; (vi) Sistemas Biomédicos (hardware/software); (vii) Processamento de Sinais e Imagens Biomédicos; e (vii) Sistemas de Testes (hardware). ";Pici;723;"LENOVO - TIC
COMPAL - notebooks, monitores, tablets e televisões
PADTEC - mercado soluções avançadas de transmissão óptica flexíveis e de alta capacidade, baseadas na tecnologia DWDM
HIMIX - Terceirização de Montagem de Placas e Produtos Eletrônicos (Contract Manufacturing)
POLIBRAS SOFTWARE - sistemas de automação de força de vendas
QUANTA (quantatec) - Rastreador, terminal, central multimídea"
5;Centro de Tecnologia (CT);Engenharia de Teleinformática;Laboratório de Óptica Aplicada – LOA (foi integrado ao LATIQ, abaixo);João Batista Rosa Silva ;https://ppgeti.ufc.br/pt/laboratorios/loa/;Comunicações ópticas, metamateriais, fotônica integrada, óptica quântica e tomografia de estados quânticos.;Pici;725 – 1º andar;n a
6;Centro de Tecnologia (CT);Engenharia de Teleinformática;Laboratório de Tecnologia da Informação Quântica – LATIQ (engloba LOA, acima);"Rubens Viana Ramos
";https://ppgeti.ufc.br/pt/laboratorios/latiq/;Teoria e tecnologia da informação quântica, comunicações e computação quânticas, sistemas e protocolos de segurança de dados em redes ópticas, fotônica de microondas e nanoeletrônica.;Pici;725 – 1º andar;-
7;Centro de Tecnologia (CT);Engenharia de Teleinformática;Laboratório de Teleinformática – LATIN;"José Marques Soares
";https://ppgeti.ufc.br/pt/laboratorios/latin/;"(i) Desevolvimento de simuladores e jogos eletrônicos baseados em Redes de Petri Coloridas; (ii) Ambientes Virtuais de Aprendizagem e Tecnologia Educacional em plataforma Web; (iii) Análise de Similaridade e Detecção de Plágio em Códigos-fonte; (iv) Processamento de Imagens para Interface Homem-Máquina; (v) Processamento de Sinais e Imagens em soft core DSP/FPGAs; (vi) Análise/Projeto de Circuitos Integrados Tolerantes a Soft Error; (vii) Microeletrônica; (viii) Sistemas Embarcados críticos para aplicações espaciais; (ix) Sistemas Embarcados Inteligentes.";Pici;725;-
8;Centro de Tecnologia (CT);Engenharia de Teleinformática;Laboratório de Visão, Imagens e Sinais (LABVIS) do Grupo de Pesquisa em Processamento de Sinais (GPI);"Fátima Nelsizeuma Sombra de Medeiros (coord.)
George André Pereira Thé";http://www.gpi.ufc.br/sn/;"(i) Processamento de imagens de radar de abertura sintética; (ii) Sensoriamento remoto por imagens de satélite; e (iii) Recuperação de imagens baseado em conteúdo; (iv) Processamento de imagens médicas (ex. retina do olho humano, mamografia); (v) Problemas inversos em geofísica e medicina; (vi) tomografia sísmica e médica; (vii) Modelagem e processamento estatístico de dados SAR; (viii) Distâncias estocásticas em realce e avaliação da qualidade do processamento; (ix) Visão computacional.";Pici;725;-
9;Centro de Tecnologia (CT);Engenharia de Teleinformática;Laboratório do Grupo de Pesquisa em Processamento de Sinais e da Informação – GPSI;Charles Casimiro Cavalcante;https://ppgeti.ufc.br/pt/laboratorios/gpsi/;"(i) Processamento de Sinais em Comunicações – projeto e análise de estratégias de processamento de sinais para sistemas de comunicações; (ii) Processamento da Informação – projeto e análise de métodos de processamento de sinais para sistemas de informação, tais como sistemas biomédicos e geofísicos; e (iii) Geometria da Informação – proposta e análise de métodos não-euclidianos para avaliação dos espaços de probabilidade e suas aplicações.";Pici;725;-
10;Centro de Tecnologia (CT);Engenharia de Teleinformática;Laboratório do Grupo de Pesquisa em Telecomunicações sem Fio – GTEL;Francisco Rodrigo Porto Cavalcanti (Membro do Conselho de Administração);https://gtel.ufc.br/;Antenas e transceptores, camada física, processamento de sinais para comunicações sem fio, redes de acesso e gerência de recursos de rádio, com vistas ao aumento da capacidade de sistemas de comunicações sem fio de 4ª e 5ª gerações. São também desenvolvidas técnicas avançadas de simulação computacional para avaliação de desempenho de sistemas de comunicações móveis.;Pici;722;ERICSSON - Tecnologia, telefonia fixa e móvel
